,State,Year,NOR(I),NOE(I),NOR(O),NOE(O),Drought,Earthquake,Fire,Flood,Human Cause,Hurricane,Ice,Mud/Landslide,Other,Snow,Storm,Terrorism,Tornado,Tsunami,Typhoon,Volcano,Water,Winter,Total disasters
37,MD,2010,72082.0,129109.0,73188.0,128947.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,NH,2010,18136.0,30221.0,20205.0,32003.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,MS,2010,27655.0,56709.0,29441.0,58960.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,CO,2010,79219.0,145535.0,67609.0,127873.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,ME,2010,13114.0,22210.0,13701.0,21953.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,LA,2010,38815.0,77576.0,38907.0,76256.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,UT,2010,27450.0,60220.0,28584.0,64623.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,NM,2010,27517.0,55945.0,27152.0,53008.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,MA,2010,61868.0,95891.0,67098.0,104986.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,OH,2010,70928.0,132463.0,90160.0,161486.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,WY,2010,12259.0,23253.0,12565.0,23874.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,NY,2010,148487.0,232431.0,176864.0,300555.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,OK,2010,37795.0,79695.0,36286.0,74127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,MT,2010,14478.0,26529.0,13933.0,24676.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,IL,2007,112836,192433.0,122724.0,223922.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,HI,2007,26452,48734.0,25806.0,51114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,NJ,2007,84560,147515.0,103845.0,185939.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,IA,2007,33814,63330.0,32342.0,58497.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,SD,2007,12588,23202.0,11551.0,20785.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,SC,2007,71413,139431.0,50931.0,97411.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,OH,2007,80999,148739.0,101574.0,181527.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,GA,2007,147734,280520.0,110175.0,220209.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,NE,2007,20743,40612.0,22410.0,42737.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,LA,2007,46375,92405.0,41388.0,82317.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,NH,2007,21167,35456.0,22314.0,36340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,ND,2007,10170,18029.0,10260.0,18260.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,ID,2007,25708,53219.0,21872.0,44275.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,MO,2007,64672,121712.0,64563.0,120597.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,MI,2007,60408,107522.0,97778.0,179649.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,OR,2007,55733,97601.0,45005.0,80751.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,NM,2007,30638,60296.0,30008.0,58564.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,TN,2007,83157,164984.0,70196.0,137842.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,KS,2007,39866,80017.0,40339.0,78390.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,AL,2007,49164,101331.0,42812.0,85864.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,PA,2007,107183,192608.0,112655.0,194015.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,IN,2007,61045,117927.0,62389.0,116700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,MD,2007,78349,136546.0,86516.0,157178.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,AZ,2007,104049,195871.0,83750.0,160840.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,NC,2007,144936,285159.0,103941.0,200257.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,MN,2007,46612,80987.0,49736.0,85923.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,MA,2007,73171,111219.0,76959.0,123193.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,DE,2007,15603,28565.0,13657.0,24597.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,MT,2007,16945,31352.0,14873.0,26189.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,CA,2007,251841,426523.0,271521.0,523042.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,RI,2007,13147,21681.0,16521.0,28349.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,WI,2007,45283,83432.0,50092.0,87124.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,AR,2007,33186,68066.0,29933.0,60775.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,CO,2007,86398,158999.0,68815.0,129053.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,WY,2007,14108,27342.0,12186.0,22631.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,FL,2007,242705,436484.0,246296.0,452746.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,NY,2007,173194,265112.0,201570.0,353872.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,VA,2007,128942,240700.0,123732.0,236854.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,DC,2007,27102,35808.0,25271.0,38989.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,UT,2007,34772,76685.0,28675.0,62974.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,WA,2007,96640,180793.0,78611.0,147273.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,TX,2007,239377,493840.0,176550.0,354440.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,CT,2007,38072,66078.0,44230.0,76197.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,KY,2007,46464,91856.0,42040.0,82727.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,ME,2007,15124,26210.0,15836.0,26225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,WV,2007,19538,37819.0,18247.0,33340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,OK,2007,42532,87620.0,39544.0,80572.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,MS,2007,31947,65359.0,30940.0,62234.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,NV,2007,60793,111924.0,51464.0,97490.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,VT,2007,9470,15028.0,10826.0,16551.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,AK,2007,15439,29919.0,16288.0,32932.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,AK,1993,15970,32454.0,15715.0,34092.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,VT,1993,9079,16189.0,8877.0,14966.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,DC,1993,21420,32769.0,26659.0,47473.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,NM,1993,35354,76358.0,27416.0,60676.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,PA,1993,85442,167308.0,95899.0,176363.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,MO,1993,62581,128587.0,55221.0,111549.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,VA,1993,115360,233660.0,105251.0,216663.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,MS,1993,31013,67656.0,26799.0,57177.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,RI,1993,10648,19253.0,14025.0,26247.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,ME,1993,13627,25915.0,15534.0,28975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,MT,1993,16360,33670.0,12752.0,24998.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,OR,1993,49753,97944.0,36675.0,71325.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,NY,1993,109394,185083.0,176768.0,335227.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,SD,1993,11355,23252.0,10455.0,21137.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,LA,1993,40694,87789.0,42958.0,93412.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,WV,1993,17770,37036.0,17591.0,34517.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,ID,1993,23892,53961.0,16176.0,34811.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,SC,1993,50650,105867.0,45749.0,97583.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,CT,1993,32765,60222.0,45825.0,82784.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,MI,1993,57850,115932.0,72794.0,138288.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,DE,1993,12542,24583.0,10645.0,20950.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,NE,1993,20015,42880.0,20539.0,42718.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,WI,1993,41164,82280.0,40008.0,73262.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,OK,1993,41111,90646.0,39338.0,85234.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,KY,1993,43381,91853.0,38010.0,79204.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,AZ,1993,95113,192511.0,59102.0,121848.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,FL,1993,232171,450837.0,172385.0,337645.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,HI,1993,25397,48917.0,25529.0,54223.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,CA,1993,189073,344116.0,320472.0,674796.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,WY,1993,11178,24015.0,10501.0,21528.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,TN,1993,74079,158053.0,53736.0,111972.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,NJ,1993,72179,138459.0,88575.0,166475.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,GA,1993,116800,242027.0,80465.0,168130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,MD,1993,71569,137427.0,70331.0,136975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,MN,1993,42779,81200.0,39283.0,71967.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,TX,1993,192961,423431.0,158814.0,347364.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,NC,1993,111115,228102.0,79073.0,164947.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,KS,1993,39168,84845.0,38533.0,82309.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,AR,1993,33680,74709.0,26822.0,57955.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,IN,1993,56535,118003.0,54068.0,106861.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,AL,1993,45166,99797.0,40013.0,85341.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,ND,1993,9773,19549.0,10475.0,21090.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,CO,1993,86089,169440.0,61563.0,122882.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,IA,1993,28112,57171.0,31400.0,59791.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,IL,1993,93362,177649.0,115103.0,227989.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,NV,1993,53582,106346.0,29105.0,56796.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,OH,1993,78115,156038.0,89856.0,171760.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,MA,1993,59024,96551.0,66374.0,114308.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,UT,1993,27155,62044.0,19906.0,46060.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,NH,1993,20718,38269.0,19251.0,34122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,WA,1993,82970,166275.0,67884.0,137728.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,WI,2000,45717,87412.0,47478.0,83311.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,CO,2000,93455,171814.0,71907.0,135204.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,WA,2000,88606,166261.0,79063.0,151974.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,HI,2000,24036,45432.0,23214.0,47362.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,WV,2000,17858,34807.0,20663.0,38380.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,KS,2000,37317,75010.0,42580.0,85661.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,UT,2000,27817,58511.0,30171.0,66062.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,IN,2000,57459,113244.0,62924.0,117357.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,DE,2000,14234,26068.0,12675.0,23307.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,SD,2000,10753,20726.0,11899.0,22178.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,TN,2000,71555,142163.0,67223.0,133530.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,NH,2000,25414,46493.0,21424.0,35821.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,TX,2000,201363,407015.0,179860.0,366941.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,MO,2000,62494,120457.0,61773.0,117058.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,AL,2000,40762,85133.0,44961.0,90288.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,RI,2000,15104,26167.0,14029.0,23907.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,OK,2000,39401,82707.0,43357.0,89103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,IA,2000,28601,55531.0,35961.0,65571.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,SC,2000,56024,108343.0,51397.0,98179.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,LA,2000,35414,69210.0,45771.0,91481.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,VA,2000,125679,238519.0,112519.0,214582.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,NM,2000,28628,58137.0,32430.0,65585.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,ND,2000,8498,15309.0,11719.0,21767.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,FL,2000,263746,488310.0,190943.0,347404.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,CA,2000,265793,447702.0,245677.0,471816.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,MT,2000,15084,28364.0,16127.0,28990.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,WY,2000,10777,20983.0,12175.0,23174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,AR,2000,29808,62874.0,30008.0,61512.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,VT,2000,10511,17472.0,10257.0,16439.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,CT,2000,39182,70090.0,43809.0,75558.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,DC,2000,25243,35717.0,23754.0,38656.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,MD,2000,82129,148520.0,74458.0,135731.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,NC,2000,119378,228406.0,100564.0,195718.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,AK,2000,13779,27142.0,14539.0,29540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,MN,2000,49711,90098.0,46247.0,81840.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,OH,2000,83763,157522.0,100436.0,183321.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,NY,2000,143903,223523.0,190314.0,340850.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,NV,2000,58344,109622.0,38937.0,72154.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,GA,2000,131359,253291.0,103647.0,204607.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,NE,2000,19916,39639.0,24027.0,46776.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,KY,2000,44118,88096.0,43705.0,86207.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,ID,2000,21950,46523.0,20432.0,41282.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,OR,2000,53049,95705.0,46270.0,85708.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,MS,2000,29033,59477.0,32429.0,65274.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,MI,2000,65394,124401.0,76676.0,138305.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,PA,2000,95506,175957.0,109246.0,190118.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,NJ,2000,87377,157645.0,97175.0,173955.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,ME,2000,16517,30056.0,14937.0,24863.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,MA,2000,77782,119024.0,77424.0,128607.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,IL,2000,104233,184133.0,128424.0,240447.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,AZ,2000,100496,189668.0,75138.0,143187.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,PA,1998,90804,170151.0,106514.0,190199.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,NM,1998,29567,60486.0,34061.0,71004.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,VT,1998,9721,16529.0,9895.0,16080.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,AK,1998,13994,28207.0,15068.0,31402.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,DC,1998,23954,34429.0,23831.0,39904.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,MO,1998,61850,122650.0,60423.0,117213.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,SC,1998,58813,116786.0,47930.0,93923.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,VA,1998,121376,236004.0,108597.0,212854.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,RI,1998,13220,23272.0,13405.0,23411.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
